"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"ACOUSTIC_NOISE";"< 70";"";
"VOLTAGE_1_PHASE";"Not available";"";
"INTEGRATED_SIGNALS";"8/8";"";
"MOUNTING_UPSIDE_DOWN";"Standard";"";
"MOUNTING_ANGLE";"Standard";"";
"PROTECTION_WRIST";"IP67";"";
"MAX_LOAD_CAPACITY";"35 kg";"";
"SUPPLIER";"FANUC";"";
"REFERENCE";"M-20iA/35M";"";
"MAX_REACH";"1813 mm";"";
"ROBOT_FOOTPRINT";"383 x 343";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"Robot M-20iA/35M (High inertia version)";"";
"INTEGRATED_AIR_SUPPLY";"1";"";
"PROTECTION_BODY";"IP54/IP55";"";
"MOUNTING_FLOOR";"Standard";"";
"TraceParts.PartNumber";"90-25012021-039979";"";
"DESIGN";"Robot M-20iA/35M (High inertia version)";"";
"VOLTAGE_3_PHASE";"380-575";"";
"AMBIENT_TEMPERATURE";"0-45";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.InstanceId";"90-25012021-03997978P2ST6ENTHNY6M228NL8S6AD";"";
"TraceParts.PartVersion";"1.0.0";"";
"AVERAGE_POWER_CONSUPTION";"1";"";
"TraceParts.ClassPath";"FANUC:90-25012021-039979";"";
"TraceParts.PartLanguage";"en";"";
